name,title,company,location,company_hq,email,linkedin,recent_publication,publication_year,publication_title,company_funding,uses_3d_models,tenure_months,propensity_score,rank
Dr. Thomas Lee,Associate Director - Safety,Vertex Pharmaceuticals,"Oxford, UK","Oxford, UK",thomas.lee@vertex.com,linkedin.com/in/thomaslee,True,2022.0,Liver organoid applications in drug discovery,Series B,True,57,76,60
Dr. Thomas Martinez,Director of Toxicology,Novartis,"San Diego, CA","San Diego, CA",thomas.martinez@novartis.com,linkedin.com/in/thomasmartinez,True,2022.0,3D cell culture models in safety pharmacology,Series C,False,45,76,60
Dr. Betty Davis,Research Fellow,Novartis,"Boston, MA","Boston, MA",betty.davis@novartis.com,linkedin.com/in/bettydavis,True,2024.0,Advanced in vitro toxicity testing methods,Series C,True,16,76,60
Dr. Maria Martinez,Associate Director - Safety,Johnson & Johnson,"San Diego, CA","San Diego, CA",maria.martinez@johnson&john.com,linkedin.com/in/mariamartinez,True,2022.0,Novel 3D hepatic models for DILI assessment,Series A,False,51,76,60
Dr. Andrew Wilson,Staff Scientist - DMPK,Editas Medicine,"Cambridge, MA","Cambridge, MA",andrew.wilson@editasmedici.com,linkedin.com/in/andrewwilson,True,2024.0,High-throughput screening using 3D models,Series B,False,7,76,60
Dr. Andrew Park,Director of Toxicology,Bristol Myers Squibb,"South San Francisco, CA","South San Francisco, CA",andrew.park@bristolmyers.com,linkedin.com/in/andrewpark,True,2024.0,Organ-on-chip technology in drug development,Seed,False,26,76,60
Dr. Andrew Davis,Safety Pharmacology Lead,BioMarin,"Boston, MA","Boston, MA",andrew.davis@biomarin.com,linkedin.com/in/andrewdavis,True,2022.0,High-throughput screening using 3D models,Public,False,22,76,60
Dr. Nancy Garcia,Associate Director - Safety,Biogen,"Boston, MA","Boston, MA",nancy.garcia@biogen.com,linkedin.com/in/nancygarcia,True,2022.0,Novel 3D hepatic models for DILI assessment,Public,False,42,76,60
Dr. Robert Harris,Scientist II - Safety Assessment,Moderna Therapeutics,"South San Francisco, CA","South San Francisco, CA",robert.harris@modernathera.com,linkedin.com/in/robertharris,True,2022.0,Drug-induced liver injury prediction using spheroids,Series C,False,36,76,60
Dr. Matthew Park,Associate Director - Safety,Sanofi,"Oxford, UK","Oxford, UK",matthew.park@sanofi.com,linkedin.com/in/matthewpark,True,2022.0,Microphysiological systems for toxicity prediction,Series B,False,46,76,60
Dr. Nancy Moore,Director of Safety Sciences,Biogen,"Cambridge, UK","Cambridge, UK",nancy.moore@biogen.com,linkedin.com/in/nancymoore,True,2022.0,Drug-induced liver injury prediction using spheroids,Series B,True,16,76,60
Dr. Kevin Thompson,Scientist II - Safety Assessment,Roche,"Oxford, UK","Oxford, UK",kevin.thompson@roche.com,linkedin.com/in/kevinthompson,True,2022.0,Liver organoid applications in drug discovery,Series C,True,15,76,60
Dr. Emily Jones,Head of Preclinical Safety,Eli Lilly,"San Francisco, CA","San Francisco, CA",emily.jones@elililly.com,linkedin.com/in/emilyjones,True,2022.0,High-throughput screening using 3D models,Series A,True,47,76,60
Dr. Betty Harris,Toxicology Manager,Sanofi,"San Diego, CA","San Diego, CA",betty.harris@sanofi.com,linkedin.com/in/bettyharris,True,2022.0,NAMs for hepatotoxicity screening,Series B,False,32,76,60
Dr. Sarah Wilson,Senior Director - Nonclinical Safety,BioMarin,"Basel, Switzerland","Basel, Switzerland",sarah.wilson@biomarin.com,linkedin.com/in/sarahwilson,True,2022.0,Drug-induced liver injury prediction using spheroids,Public,True,25,76,60
Dr. Jessica Park,Toxicology Manager,CRISPR Therapeutics,"South San Francisco, CA","South San Francisco, CA",jessica.park@crisprtherap.com,linkedin.com/in/jessicapark,True,2022.0,Drug-induced liver injury prediction using spheroids,Series C,False,26,76,60
Dr. Andrew White,Lead Toxicologist,Beam Therapeutics,"London, UK","London, UK",andrew.white@beamtherapeu.com,linkedin.com/in/andrewwhite,True,2024.0,3D cell culture models in safety pharmacology,Seed,True,34,75,77
Dr. Jennifer Moore,Lead Toxicologist,Amgen,"London, UK","London, UK",jennifer.moore@amgen.com,linkedin.com/in/jennifermoore,True,2023.0,High-throughput screening using 3D models,Seed,False,18,75,77
Dr. Andrew Thompson,Toxicology Manager,Alexion,Remote - Colorado,Remote - Colorado,andrew.thompson@alexion.com,linkedin.com/in/andrewthompson,True,2022.0,Novel 3D hepatic models for DILI assessment,Series B,True,51,72,79
Dr. Susan Harris,Director of Toxicology,Gilead Sciences,Remote - Colorado,Remote - Colorado,susan.harris@gileadscienc.com,linkedin.com/in/susanharris,True,2022.0,NAMs for hepatotoxicity screening,Series C,True,54,72,79
Dr. Amanda Rodriguez,Toxicology Manager,Biogen,"New York, NY","New York, NY",amanda.rodriguez@biogen.com,linkedin.com/in/amandarodriguez,True,2022.0,Novel 3D hepatic models for DILI assessment,Series B,True,42,72,79
Dr. Amanda Garcia,Associate Director - Safety,Alnylam Pharmaceuticals,"Chicago, IL","Chicago, IL",amanda.garcia@alnylam.com,linkedin.com/in/amandagarcia,True,2022.0,Drug-induced liver injury prediction using spheroids,Series C,False,29,72,79
Dr. Susan Park,Principal Scientist - Toxicology,Merck,"Indianapolis, IN","Indianapolis, IN",susan.park@merck.com,linkedin.com/in/susanpark,True,2024.0,Predictive toxicology with in vitro systems,Seed,False,33,72,79
Dr. Thomas Chen,Director of Safety Sciences,Vertex Pharmaceuticals,"Chicago, IL","Chicago, IL",thomas.chen@vertex.com,linkedin.com/in/thomaschen,True,2022.0,Organ-on-chip technology in drug development,Series C,False,27,72,79
Dr. Andrew Lee,VP Safety Assessment,Bluebird Bio,"Philadelphia, PA","Philadelphia, PA",andrew.lee@bluebirdbio.com,linkedin.com/in/andrewlee,True,2022.0,High-throughput screening using 3D models,Series B,True,53,72,79
Dr. Andrew Miller,Senior Research Scientist,Novartis,"Cambridge, MA","Cambridge, MA",andrew.miller@novartis.com,linkedin.com/in/andrewmiller,True,2024.0,Microphysiological systems for toxicity prediction,Public,False,12,72,79
Dr. Maria Anderson,Senior Scientist - Hepatotoxicity,Alnylam Pharmaceuticals,"Cambridge, UK","Cambridge, UK",maria.anderson@alnylam.com,linkedin.com/in/mariaanderson,True,2024.0,Novel 3D hepatic models for DILI assessment,Series A,True,39,72,79
Dr. Christopher Park,Director of Toxicology,Editas Medicine,Remote - Texas,Remote - Texas,christopher.park@editasmedici.com,linkedin.com/in/christopherpark,True,2023.0,Organ-on-chip technology in drug development,Seed,True,42,72,79
Dr. Nancy Park,Senior Scientist - Hepatotoxicity,Sanofi,"Seattle, WA","Seattle, WA",nancy.park@sanofi.com,linkedin.com/in/nancypark,True,2023.0,Microphysiological systems for toxicity prediction,Series B,True,31,72,79
Dr. Nancy Park,Scientist II - Safety Assessment,Johnson & Johnson,Remote - Texas,Remote - Texas,nancy.park@johnson&john.com,linkedin.com/in/nancypark,True,2022.0,Novel 3D hepatic models for DILI assessment,Series C,True,36,72,79
Dr. Andrew Miller,Research Fellow,Johnson & Johnson,"Oxford, UK","Oxford, UK",andrew.miller@johnson&john.com,linkedin.com/in/andrewmiller,True,2023.0,3D cell culture models in safety pharmacology,Public,False,19,68,91
Dr. Thomas Brown,Senior Scientist - Hepatotoxicity,Sanofi,New Jersey,New Jersey,thomas.brown@sanofi.com,linkedin.com/in/thomasbrown,True,2023.0,High-throughput screening using 3D models,Public,False,22,68,91
Dr. Sarah Wilson,Safety Pharmacology Lead,Bluebird Bio,"Research Triangle Park, NC","Research Triangle Park, NC",sarah.wilson@bluebirdbio.com,linkedin.com/in/sarahwilson,True,2022.0,3D cell culture models in safety pharmacology,IPO,True,28,68,91
Dr. James Johnson,Senior Research Scientist,Novartis,"Cambridge, UK","Cambridge, UK",james.johnson@novartis.com,linkedin.com/in/jamesjohnson,True,2023.0,3D cell culture models in safety pharmacology,Public,False,48,68,91
Dr. Jennifer Wilson,Research Scientist II,Amgen,"San Francisco, CA","San Francisco, CA",jennifer.wilson@amgen.com,linkedin.com/in/jenniferwilson,True,2023.0,3D cell culture models in safety pharmacology,Public,False,35,68,91
Dr. Daniel Smith,Director of Toxicology,Johnson & Johnson,Remote - California,Remote - California,daniel.smith@johnson&john.com,linkedin.com/in/danielsmith,True,2022.0,Organ-on-chip technology in drug development,Public,True,50,68,91
Dr. Kevin Jones,Staff Scientist - DMPK,Merck,"Chicago, IL","Chicago, IL",kevin.jones@merck.com,linkedin.com/in/kevinjones,True,2023.0,Novel 3D hepatic models for DILI assessment,Series B,True,13,68,91
Dr. Nancy Miller,Senior Scientist - Hepatotoxicity,Bluebird Bio,"Chicago, IL","Chicago, IL",nancy.miller@bluebirdbio.com,linkedin.com/in/nancymiller,True,2024.0,Drug-induced liver injury prediction using spheroids,Series C,False,11,68,91
Dr. Daniel Mitchell,Research Scientist II,Alexion,"Philadelphia, PA","Philadelphia, PA",daniel.mitchell@alexion.com,linkedin.com/in/danielmitchell,True,2023.0,3D cell culture models in safety pharmacology,Series C,True,56,68,91
Dr. Matthew Martinez,Research Scientist II,Bluebird Bio,"San Francisco, CA","San Francisco, CA",matthew.martinez@bluebirdbio.com,linkedin.com/in/matthewmartinez,True,2024.0,3D cell culture models in safety pharmacology,Public,True,44,68,91
Dr. Jessica Chen,Senior Scientist - Hepatotoxicity,BioMarin,"Indianapolis, IN","Indianapolis, IN",jessica.chen@biomarin.com,linkedin.com/in/jessicachen,True,2023.0,Novel 3D hepatic models for DILI assessment,Series B,True,57,68,91
Dr. Jennifer White,Lead Toxicologist,Johnson & Johnson,"South San Francisco, CA","South San Francisco, CA",jennifer.white@johnson&john.com,linkedin.com/in/jenniferwhite,True,2022.0,Drug-induced liver injury prediction using spheroids,Series B,False,59,67,102
Dr. Robert Davis,Principal Investigator,Regeneron,"Cambridge, UK","Cambridge, UK",robert.davis@regeneron.com,linkedin.com/in/robertdavis,True,2022.0,Novel 3D hepatic models for DILI assessment,Series B,True,54,67,102
Dr. David Miller,Director of Toxicology,Gilead Sciences,New Jersey,New Jersey,david.miller@gileadscienc.com,linkedin.com/in/davidmiller,True,2022.0,3D cell culture models in safety pharmacology,Seed,False,11,64,104
Dr. Jessica Chen,Scientist II - Safety Assessment,Eli Lilly,"Boston, MA","Boston, MA",jessica.chen@elililly.com,linkedin.com/in/jessicachen,False,,,Series B,True,18,64,104
Dr. Sarah Davis,Senior Research Scientist,Alexion,"London, UK","London, UK",sarah.davis@alexion.com,linkedin.com/in/sarahdavis,True,2024.0,Predictive toxicology with in vitro systems,Series C,False,48,64,104
Dr. Michelle Moore,Research Scientist II,Ginkgo Bioworks,"Indianapolis, IN","Indianapolis, IN",michelle.moore@ginkgobiowor.com,linkedin.com/in/michellemoore,True,2023.0,Microphysiological systems for toxicity prediction,IPO,False,33,64,104
Dr. Lisa Miller,Associate Director - Safety,Amgen,"Basel, Switzerland","Basel, Switzerland",lisa.miller@amgen.com,linkedin.com/in/lisamiller,False,,,Series B,True,50,64,104
Dr. Nancy Park,Senior Research Scientist,Bluebird Bio,"Indianapolis, IN","Indianapolis, IN",nancy.park@bluebirdbio.com,linkedin.com/in/nancypark,True,2023.0,High-throughput screening using 3D models,Public,True,33,64,104
Dr. Daniel Mitchell,Scientist II - Safety Assessment,Takeda,"Basel, Switzerland","Basel, Switzerland",daniel.mitchell@takeda.com,linkedin.com/in/danielmitchell,False,,,Series C,True,49,64,104
Dr. Daniel Williams,Staff Scientist - DMPK,CRISPR Therapeutics,"Cambridge, UK","Cambridge, UK",daniel.williams@crisprtherap.com,linkedin.com/in/danielwilliams,True,2023.0,Organ-on-chip technology in drug development,Series A,True,8,64,104
Dr. Thomas White,Staff Scientist - DMPK,Novo Nordisk,"Philadelphia, PA","Philadelphia, PA",thomas.white@novonordisk.com,linkedin.com/in/thomaswhite,True,2024.0,Microphysiological systems for toxicity prediction,Public,False,20,64,104
Dr. Amanda Chen,Principal Investigator,Eli Lilly,"San Diego, CA","San Diego, CA",amanda.chen@elililly.com,linkedin.com/in/amandachen,True,2022.0,NAMs for hepatotoxicity screening,Public,True,23,63,113
Dr. David Mitchell,Principal Investigator,BioMarin,"Cambridge, UK","Cambridge, UK",david.mitchell@biomarin.com,linkedin.com/in/davidmitchell,True,2022.0,Novel 3D hepatic models for DILI assessment,Public,False,15,63,113
Dr. Christopher Thompson,Safety Pharmacology Lead,Regeneron,"Oxford, UK","Oxford, UK",christopher.thompson@regeneron.com,linkedin.com/in/christopherthompson,False,,,Series C,True,36,60,115
Dr. Kevin Brown,VP Safety Assessment,Bluebird Bio,"San Diego, CA","San Diego, CA",kevin.brown@bluebirdbio.com,linkedin.com/in/kevinbrown,False,,,Series C,True,45,60,115
Dr. Amanda Jones,Associate Director - Safety,Beam Therapeutics,"Cambridge, UK","Cambridge, UK",amanda.jones@beamtherapeu.com,linkedin.com/in/amandajones,False,,,Series C,True,20,60,115
Dr. Kevin Mitchell,Toxicology Manager,Beam Therapeutics,"Seattle, WA","Seattle, WA",kevin.mitchell@beamtherapeu.com,linkedin.com/in/kevinmitchell,False,,,Series B,True,14,60,115
Dr. Laura Miller,Associate Director - Safety,AbbVie,"Cambridge, UK","Cambridge, UK",laura.miller@abbvie.com,linkedin.com/in/lauramiller,False,,,Series C,False,11,60,115
Dr. Kevin Johnson,Senior Director - Nonclinical Safety,Vertex Pharmaceuticals,"Cambridge, UK","Cambridge, UK",kevin.johnson@vertex.com,linkedin.com/in/kevinjohnson,False,,,Series B,True,51,60,115
Dr. Nancy White,Head of Preclinical Safety,Moderna Therapeutics,"Cambridge, MA","Cambridge, MA",nancy.white@modernathera.com,linkedin.com/in/nancywhite,False,,,Public,False,46,60,115
Dr. Sarah Brown,Group Leader - Toxicology,Novo Nordisk,"Cambridge, MA","Cambridge, MA",sarah.brown@novonordisk.com,linkedin.com/in/sarahbrown,False,,,Public,False,18,60,115
Dr. Laura Garcia,Director of Safety Sciences,Bayer,"South San Francisco, CA","South San Francisco, CA",laura.garcia@bayer.com,linkedin.com/in/lauragarcia,False,,,Series B,True,32,60,115
Dr. Karen Wilson,Safety Pharmacology Lead,Johnson & Johnson,"San Francisco, CA","San Francisco, CA",karen.wilson@johnson&john.com,linkedin.com/in/karenwilson,False,,,Series B,True,56,60,115
